count,id,title,longitude,latitude,elevation
244,2,"Aberdeen, King's College",-2.1003762,57.1640388,0
4,4,"Aberystwyth, National Library",-4.08292,52.41530299999999,0
3000,5,"Alexandria, Graeco-Roman Museum",29.9187387,31.2000924,0
4,8,"Amsterdam, Private collection Gieben",4.895167900000001,52.3702157,0
5,9,"Amsterdam, Private collection Hakkert",4.895167900000001,52.3702157,0
182,11,"Amsterdam, University Library",4.8897713,52.3677036,0
3444,12,"Ann Arbor, Michigan University, Library",-83.7403258,42.27676630000001,0
8,16,"Athens, University, Classical Seminar",-84.5929898,35.4428512,0
13,19,"Dallas, Southern Methodist University",-96.78,32.84,0
81,23,"Baltimore, Walters Art Museum",-76.61608939999999,39.2966346,0
2,24,"Bangor, University College of North Wales",-4.130061599999999,53.2296215,0
8,30,"Berkeley, Badé Museum of Biblical Archaeology",-122.2629744,37.8767189,0
1283,31,"Berkeley, Bancroft Library",-122.272747,37.8715926,0
2,32,"Berlin, Postmuseum",13.2019426,52.53591660000001,0
7,33,"Berlin, Private collection Deissmann",13.404954,52.52000659999999,0
33,34,"Heidelberg, Private collection Gradenwitz",8.6724335,49.3987524,0
8,35,"Berlin, Private collection Ibscher",13.404954,52.52000659999999,0
8,37,"Berlin, Private collection K. Schmidt",13.404954,52.52000659999999,0
14,38,"Berlin, Private collection Wilcken",13.404954,52.52000659999999,0
8947,40,"Berlin, Ägyptisches Museum",13.404954,52.52000659999999,0
3,47,"Bologna, Dipartimento di Storia Antica",11.3518407,44.4968087,0
19,51,"Bonn, Seminar für alte Geschichte",7.1014032,50.73351479999999,0
2,52,"Berlin, Private collection Wiedemann",13.404954,52.52000659999999,0
40,53,"Bonn, Altertumsfreunden",7.0982068,50.73743,0
1,55,"Boston, Private collection Haynes",-78.1322733,38.5421671,0
2,56,"Boulder, University of Colorado",-105.2838511,40.0454736,0
1,57,"Bradfield, College",-3.349652,50.878297,0
1,58,"Bremen, Private collection G. Bergfeld",8.8016937,53.07929619999999,0
54,61,"Bristol, Museum",-1.1743197,52.3555177,0
2,62,"Bristol, Clifton College",-2.6189067,51.459112,0
1,65,"Brussels, Université Libre",4.3766927,50.8235717,0
3,67,"Bryn Mawr, College",-75.312867,40.0263,0
2,69,"Cairo, Aïn Shams",31.2357116,30.0444196,0
304,70,"Cairo, Cairo University",31.2357116,30.0444196,0
9884,73,"Cairo, Egyptian Museum",31.2357116,30.0444196,0
2889,74,"Cairo, IFAO",31.2357116,30.0444196,0
68,75,"Cairo, Museum of Islamic Art",31.2357116,30.0444196,0
2,77,"Cairo, Private collection Michaelidis",31.2357116,30.0444196,0
2,78,"Cairo, Private collection Zaki Aly",31.2357116,30.0444196,0
19,80,"Cambridge, Corpus Christi College",0.1178152,52.20288129999999,0
18,83,"Cambridge, Museum of Classical Archaeology",0.1095548,52.2003923,0
3,84,"Oxford, Queen's College Library",-0.9305933,51.68929559999999,0
19,85,"Cambridge, Trinity College",0.1182482,52.2068361,0
10,86,"Cambridge, Westminster College",0.0936443,52.2125722,0
1,92,"Cheltenham, Private collection Fenwick",-2.0733607,51.902707,0
8,95,"Chicago, McCormick Theological Seminary",-87.5927655,41.7951436,0
71,96,"Chicago, Field Museum",-87.6297982,41.8781136,0
1,97,"Chicago, Private collection Goodspeed",-87.6014179,41.7912106,0
815,98,"Chicago, Haskell Oriental Institute",-87.597811,41.7892223,0
1,100,"Christchurch, University",172.6362254,-43.5320544,0
11,101,"Cleveland, Case Western Reserve University",-81.6089873,41.5091257,0
7,103,"Clinton, Hamilton College",-75.3785034,43.0484029,0
142,104,"Copenhagen, National Museum",12.5760481,55.6750698,0
98,105,"Copenhagen, Institute for Greek and Latin",12.590454,55.662636,0
336,106,"Copenhagen, Carlsberg Papyrus Collection",12.576824,55.663709,0
7,110,"Dayton, United Theological Seminary",-84.24368489999999,39.7822504,0
5,111,"Dresden, Öffentliche Bibliothek",13.7691125,51.07479259999999,0
1,116,"Dundee, University College",-2.9821428,56.45824469999999,0
56,119,"Durham, Oriental Museum",-1.592171,54.76302,0
1802,121,"Durham (NC), Duke University",-78.94720889999999,35.9992263,0
3,124,"Egham, Royal Holloway College",-0.5636089,51.4258439,0
153,125,"Erlangen, Universität",11.0069277,49.6024057,0
2,126,"Evanston, Seabury-Western Theological Seminary",-87.67786459999999,42.0570147,0
197,129,"Florence, Museo Egizio",11.261675,43.7762646,0
800,131,"Florence, Istituto Papirologico 'G. Vitelli'",11.2600671,43.7715697,0
10,133,"Frankfurt, Rechtswissenschaftliches Seminar",8.653214799999999,50.1186075,0
109,134,"Freiburg, Universitätsbibliothek",7.8467583,47.9938544,0
153,138,"Genua, Università",8.9259641,44.4151264,0
763,140,"Giessen, Universitätsbibliothek",8.692471,50.576717,0
26,141,"Glasgow, University",-4.2026458,56.49067119999999,0
1,143,"Glasgow, Private collection Milligan",-4.251806,55.864237,0
2,144,"Godalming, Charterhouse School",-0.612808,51.18573199999999,0
9,146,"Göttingen, Universitätsbibliothek",9.915803499999999,51.54128040000001,0
54,147,"Graz, Universität",15.449206,47.0775123,0
56,150,"Halle, Universität",11.9686047,51.48883739999999,0
395,151,"Hamburg, Bibliothek",9.985529999999999,53.56448,0
6,153,"Harrow on the Hill, Harrow School",-1.1743197,52.3555177,0
2,154,"Hawarden, St Deiniol's Library",-1.1743197,52.3555177,0
19,157,"Helsinki, Museum",24.9320659,60.1752757,0
88,158,"Helsinki, University",21.4388308,60.60845039999999,0
1,159,"Hertford, Haileybury College",-0.08115699999999999,51.795756,0
1,160,"High Wycombe, Wycombe Abbey School",-0.7482289999999999,51.628611,0
1,163,"Ithaca, Cornell University",-76.5018807,42.4439614,0
116,165,"Jena, Universität",11.590415,50.9298983,0
31,168,"Jerusalem, Pontifical Biblical Institute",35.21371,31.768319,0
985,172,"Cologne, Papyrussammlung",6.9602786,50.937531,0
1,174,"Kiev, Archaeological Museum",30.5234,50.4501,0
12,177,"Lecce, Università, Museo Papirologico",18.165316,40.35641589999999,0
1603,178,"Leiden, National Museum of Antiquities",4.4855814,52.1585498,0
1,179,"Oegstgeest, Private collection von Scherling",4.4748104,52.1862262,0
221,180,"Leiden, Papyrological Institute",4.4814269,52.1573045,0
384,181,"Leipzig, Universität",12.36854,51.33241,0
1,182,"Leipzig, Private collection Lamer",12.3730747,51.3396955,0
37,183,"Leuven, University Library",4.7071575,50.8781675,0
6,184,"Leuven, Faculty of Arts",4.709579499999999,50.8773267,0
6,185,"Herent, Private collection Cottry",4.709579499999999,50.8773267,0
2,187,"Liège, Université",5.5628874,50.63507569999999,0
80,188,"Lille, Université Charles de Gaulle - Lille III",3.060827,50.6309236,0
19,190,"Liverpool, School of Archaeology and Oriental Studies",-2.975554,53.4063986,0
12,191,"Liverpool, Harold Cohen Library",-2.8196088,53.4072183,0
2,194,"Horsham, Christ's Hospital",-0.3630888,51.0443116,0
2,195,"London, Dulwich College",-1.1743197,52.3555177,0
2,196,"London, Private collection Adler",-0.1254872,51.508515,0
1,198,"London, Science Museum",-0.1765027,51.4972946,0
2,199,"London, St Paul's Girls' School",-0.2201738,51.4958592,0
2,200,"London, St Paul's School",-0.2388769,51.488518,0
1384,201,"London, University College, Petrie Museum",-0.1326459,51.5224449,0
1,202,"London, University College School",-0.1817054,51.5534618,0
3,203,"London, Wellcome Foundation Library",-1.1743197,52.3555177,0
1,204,"London, Westfield College",-0.1932791,51.5575787,0
2,205,"London, Westminster School",-1.1743197,52.3555177,0
11,206,"Louvain-la-Neuve, Université Catholique de Louvain",4.6117253,50.6687754,0
840,207,"Lund, University",13.1910073,55.7046601,0
1,208,"Lyon, Private collection Nolot",4.835659,45.764043,0
28,210,"Sydney, Macquarie University",151.2068896,-33.873651,0
91,211,"Madison, Wisconsin State University",-89.3974633,43.0755641,0
19,212,"Madrid, Fundación Pastor de Estudios Clásicos",-3.6863395,40.4392967,0
8,214,"Würzburg, Akademie der Wissenschaften (Mainz)",9.9533548,49.79130439999999,0
