count,id,title,address
244,2,"Aberdeen, King's College","Special Libraries and Archives, University of Aberdeen Historic Collections, King's College, Aberdeen AB24 3SW, UK - Scotland"
4,4,"Aberystwyth, National Library","National Library of Wales, Department of Manuscripts, Aberystwyth, Cardiganshire, UK - Wales"
3000,5,"Alexandria, Graeco-Roman Museum","Graeco-Roman Museum, Mathaf El Romani Street, Downtown, Alexandria, Egypt"
36,6,"Allentown, Muhlenberg College","Muhlenberg College, Trexler Library, 2400 Chew Street, Allentown, Pa. 18104-5586, USA"
193,7,"Amsterdam, Allard Pierson Museum","Allard Pierson Museum, Oude Turfmarkt 127, 1012 GC Amsterdam, Nederland"
4,8,"Amsterdam, Private collection Gieben","Private collection J. C. Gieben, Amsterdam, The Netherlands"
5,9,"Amsterdam, Private collection Hakkert","Private collection Hakkert, Amsterdam, Nederland"
182,11,"Amsterdam, University Library","Universiteit van Amsterdam, Universiteitsbibliotheek [University Library], Afdeling Handschriftenkamer, Singel 425, Amsterdam, Nederland"
3444,12,"Ann Arbor, Michigan University, Library","University of Michigan, Papyrology Rooms, 807 Harlan Hatcher Graduate Library, 2016 Angell Hall, Ann Arbor, MI 48109-1003, USA"
3,13,"Assiut, Private collection Beaugé","Private collection Beaugé, Assiut, Egypt"
71,14,"Athens, Archaeological Society","Archaeological Society, Panepistimiou Ave 22, 106 72 Athenai (Athens), Hellas (Greece)"
19,15,"Athens, Benaki Museum","Benaki Museum, 1 Koumbari street and Vasilissis Sophias Avenue, GR - 10674 Athenai (Athens), Hellas (Greece)"
8,16,"Athens, University, Classical Seminar","Athens University, Institute of Classical Philology (Classical Seminar Collection), Panepistimioupoli, 15784 Ilissia, Athenai (Athens), Hellas (Greece)"
130,17,"Athens, National Museum","National Archaeological Museum, Patission Avenue, Athenai (Athens), Hellas (Greece)"
31,18,"Athens, Papyrological Society","Greek Papyrological Society, Athenai (Athens), Hellas (Greece)"
13,19,"Dallas, Southern Methodist University","Southern Methodist University, Bridwell Library, Perkins School of Theology, University Park, Dallas, Texas 75275, USA"
64,20,"Austin, University of Texas","University of Texas, Harry Ransom Humanities Research Center, Austin, Texas, USA"
119,22,"Baltimore, Johns Hopkins University","Johns Hopkins University, The Milton S. Eisenhower Library, Baltimore, Md. 21218, USA"
81,23,"Baltimore, Walters Art Museum","Walters Art Museum, formerly Walters Art Gallery, Library, 600 North Charles Street, Baltimore, Maryland 21201, USA"
2,24,"Bangor, University College of North Wales","University College of North Wales, The Main Library, College Road, Bangor LL57 2DG, UK - Wales"
46,27,"Basel, Universitätsbibliothek","Universität Basel, Universitätsbibliothek, Schönbeinstrasse 18-20, 4056 Basel, Schweiz"
42,28,"Belfast, Queen's University","Queen's University, The Library, University Road, Belfast, BT17 1LS, Northern Ireland, UK - Ireland"
8,29,"Belfast, Ulster Museum","Ulster Museum, Department of Antiquities, Botanic Gardens, Belfast, BT9 5AB, Northern Ireland, UK - Ireland"
8,30,"Berkeley, Badé Museum of Biblical Archaeology","Badé Museum of Biblical Archaeology, Pacific School of Religion, Palestine Institute Museum, 1798 Scenic Drive, Berkeley, California 94709, USA"
1283,31,"Berkeley, Bancroft Library","University of California, Bancroft Library, Rare Books Department, Berkeley, California, USA"
2,32,"Berlin, Postmuseum","Postmuseum, Leipziger / Ecke Mauerstrasse, 108 Berlin, Deutschland"
7,33,"Berlin, Private collection Deissmann","Private collection Adolf Deissmann (1866-1937), Heidelberg (till 1908), Berlin (1908-1934), Berlin, Wünsdorf, near Berlin (1934-1945), Deutschland"
33,34,"Heidelberg, Private collection Gradenwitz","Private collection Prof. Otto Gradenwitz, Heidelberg, Deutschland"
8,35,"Berlin, Private collection Ibscher","Private collection Hugo (+ 1943) and Rolf Ibscher, (+1967), Berlin, Deutschland"
8,37,"Berlin, Private collection K. Schmidt","Private collection Prof. Dr. Karl / Carl Schmidt, Berlin, Deutschland"
14,38,"Berlin, Private collection Wilcken","Private collection Ulrich Wilcken, Berlin, Deutschland"
8947,40,"Berlin, Ägyptisches Museum","Staatliche Museen zu Berlin - Preussischer Kulturbesitz, Ägyptisches Museum und Papyrussammlung, Bodestrasse 1-3, D-10178 Berlin, Deutschland, e-mail : aemp@smb.spk-berlin.de"
25,42,"Beuron, Erzabtei","Erzabtei, Abteistr. 2, 88631 Beuron, Deutschland"
1,44,"Blackburn, Museum and Art Galleries","Blackburn Museum and Art Galleries, Museum Street, Blackburn, Lancashire, BB1 7AJ, UK - England"
14,45,"Bloomington, Indiana University","Indiana University, Bloomington, Indiana, USA"
86,46,"Bologna, Biblioteca Universitaria","Università di Bologna, Biblioteca Universitaria, Via Zamboni, 35, 40126 Bologna, Italia"
3,47,"Bologna, Dipartimento di Storia Antica","Università di Bologna, Dipartimento di Storia Antica, Via Zamboni, 38, 40126 Bologna, Italia"
1,48,"Bologna, Biblioteca dell'Archiginnasio","Biblioteca dell'Archiginnasio, Piazza Galvani, 1, 40126 Bologna, Italia"
126,49,"Bologna, Museo Civico Archeologico","Museo Civico Archeologico, Via dell'Archiginnasio, 2, 40126 Bologna, Italia"
21,50,"Bolton, Museum","Bolton Museum, Art Gallery and Aquarium, Le Mans Crescent, Bolton, Lancashire, BL1 1SE, UK - England"
19,51,"Bonn, Seminar für alte Geschichte","Friedrich-Wilhelm Universität, Seminar für alte Geschichte, Am Hof 1, 53113 Bonn, Deutschland"
2,52,"Berlin, Private collection Wiedemann","Private collection Wiedemann, Berlin, Deutschland"
40,53,"Bonn, Altertumsfreunden","Verein von Altertumsfreunden im Rheinlande, Bonn, Deutschland"
1,55,"Boston, Private collection Haynes","Private collection Haynes, Boston, USA"
2,56,"Boulder, University of Colorado","University of Colorado, University of Colorado Libraries, Rare Books Room, 412 Norlin Library, Boulder, Colorado 80304, USA"
1,57,"Bradfield, College","Bradfield College, Library, Bradfield, UK - England"
1,58,"Bremen, Private collection G. Bergfeld","Private collection G. Bergfeld, Bremen, Deutschland"
85,59,"Bremen, Staatsbibliothek","Staats- und Universitätsbibliothek, Bibliothekstraße, 28359 Bremen, Deutschland"
7,60,"Brighton, Museum","Brighton Museum & Art Gallery, Royal Pavilion Gardens, Brighton, BN1 1EE, East Sussex, UK - England"
54,61,"Bristol, Museum","Bristol Museums and Art Gallery (City Museum), Queen's Road, Bristol, BS 8 1RL, UK - England"
2,62,"Bristol, Clifton College","Percival Library, Clifton College, 32 College Road, Clifton, Bristol, BS8 3JH, UK - England"
32,63,"Brussels, Bibliothèque Royale","Bibliothèque Royale Albert Ier - Koninklijke Bibliotheek Albert I (BR - KB) [Albertina], Manuscrits, Boulevard de l'Empereur 4, B-1000 Bruxelles - Brussel, Belgique - België"
444,64,"Brussels, Musées Royaux","Musées Royaux d'Art et d'Histoire - Koninklijke Musea voor Kunst en Geschiedenis (MRAH - KMKG), Fondation Égyptologique Reine Élisabeth - Egyptologische Stichting Koningin Elisabeth (FERE - ESKE), Parc du Cinquantenaire - Jubelpark 10, B-1000 Bruxelles - Brussel, Belgique - België"
1,65,"Brussels, Université Libre","Université Libre de Bruxelles (ULB), Faculté de Philosophie et Lettres, Centre de Papyrologie et d'épigraphie grecque, Avenue F. D. Roosevelt 50 (C. P. 175), B-1050 Bruxelles, Belgique"
3,67,"Bryn Mawr, College","Bryn Mawr College, Mariam Coffin Canaday Library, 101 North Merion Avenue, Bryn Mawr, Pennsylvania 19010-2899, USA"
2,69,"Cairo, Aïn Shams","University of Aïn Shams, Center of Papyrological Studies and Inscriptions (ACPSI), Abbassia - Cairo, Egypt"
304,70,"Cairo, Cairo University","University of Cairo, (formerly the Fuad I University), Museum of the Faculty of Archaeology, Cairo, Egypt"
1384,72,"Cairo, Coptic Museum","Coptic museum, Cairo, Egypt"
9884,73,"Cairo, Egyptian Museum","Egyptian Museum, (formerly the Boulaq / Bulaq museum), Midan-el-Tahrir, Cairo, Egypt"
2889,74,"Cairo, IFAO","Institut Français d'Archéologie Orientale (IFAO), 37 Rue el-Cheikh Ali Youssef, B.P. Qasr el-Ayni 11562, 11441 Cairo, Egypt"
68,75,"Cairo, Museum of Islamic Art","Museum of Islamic Art, Sharia Ahmed Maher, Cairo, Egypt"
2,77,"Cairo, Private collection Michaelidis","Private collection George A. Michaelidis [also spelled Michailidis or Michaïlidis or Michaelidès], Cairo, Egypt"
2,78,"Cairo, Private collection Zaki Aly","Private collection Zaki Aly, Cairo, Egypt"
388,79,"Cambridge, University Library","Cambridge University Library, West Road, Cambridge CB3 9DR, UK - England"
19,80,"Cambridge, Corpus Christi College","Parker Library, Corpus Christi College, Trumpinton Street, Cambridge CB2 1RH, UK - England"
164,81,"Cambridge, Fitzwilliam Museum","Fitzwilliam Museum, Trumpington Street, Cambridge, CB2 1RB, UK - England"
18,83,"Cambridge, Museum of Classical Archaeology","Museum of Classical Archaeology, Faculty of Classics, Sidgwick Avenue, Cambridge CB3 9DA, UK - England"
3,84,"Oxford, Queen's College Library","Queen's College, Library, High Street, Oxford, UK - England"
19,85,"Cambridge, Trinity College","Wren Library, Trinity College, Trinity Street, Cambridge CB2 1TQ, UK - England"
10,86,"Cambridge, Westminster College","Westminster College Library, Westminster College, Madingley Road, Cambridge CB3 0AA, UK - England"
135,87,"Cambridge (MA), Harvard University Library","Harvard University, Houghton Library, Cambridge, Massachusetts 02138, USA"
1,88,"Cambridge (MA), Harvard University Semitic Museum","Harvard University Semitic Museum, Cambridge, Massachusetts, USA"
1,91,"Cheltenham, Ladies' College","Cheltenham Ladies' College, Bayshill Road, Cheltenham, GL50 3EP, UK - England"
1,92,"Cheltenham, Private collection Fenwick","Private collection T. Fitz Roy Fenwick, Cheltenham, UK - England"
8,95,"Chicago, McCormick Theological Seminary","McCormick Theological Seminary Library, JKM Library, 100 East 55th Street, Chicago, Illinois 60615, USA"
71,96,"Chicago, Field Museum","Field Natural History Museum, (formerly the Field Columbian Museum), Chicago, Illinois, USA"
1,97,"Chicago, Private collection Goodspeed","Private collection Edgar J. Goodspeed, Special Collections Research Center, 100 E.57th Street, Chicago, Illinois 60637, USA"
815,98,"Chicago, Haskell Oriental Institute","University of Chicago, Haskell Oriental Institute, 1155 East 58th Street, Chicago, Illinois 60637, USA"
6,99,"Chicago, University Library","University of Chicago, Library, Chicago, Illinois, USA"
1,100,"Christchurch, University","Christchurch University, (Lincoln University), Library, Christchurch, New Zealand"
11,101,"Cleveland, Case Western Reserve University","Case Western Reserve University, Freiberger Library, Cleveland, Ohio 44106, USA"
7,103,"Clinton, Hamilton College","Hamilton College, Library, Clinton, NY 13323, USA"
142,104,"Copenhagen, National Museum","National Museum / Nationalmuseet, Frederiksholms Kanal 12, DK-1220 København K, Danmark"
98,105,"Copenhagen, Institute for Greek and Latin","University of Copenhagen, Institute for Greek and Latin, Njalsgade 92, DK-2300 København S, Danmark"
336,106,"Copenhagen, Carlsberg Papyrus Collection","University of Copenhagen, Carsten Niebuhr Instituttet for nærorientalske studier, The Carlsberg Papyrus Collection, Snorresgade 17-19, 2300 København S, Danmark"
2,107,"Crowthorne, Wellington College","Wellington College, Crowthorne, Berkshire, RG45 7PU, UK - England"
7,110,"Dayton, United Theological Seminary","United Theological Seminary Library, 1810 Harvard Boulevard, Dayton 6, Ohio 45406, USA"
5,111,"Dresden, Öffentliche Bibliothek","Öffentliche Bibliothek (Sächsischen Landesbibliothek), Marienallee 12, Dresden, Deutschland"
210,112,"Dublin, Chester Beatty Library","The Chester Beatty Library, The Clocktower Building, Dublin Castle, Dublin 2, Eire (Ireland)"
10,114,"Dublin, Royal Irish Academy","Royal Irish Academy, 19 Dawson Street, Dublin, Eire (Ireland)"
519,115,"Dublin, Trinity College","Trinity College Library, The Manuscripts Department, College Street, Dublin 2, Eire (Ireland)"
1,116,"Dundee, University College","University College, Archive, Records Management and Museum Services, University of Dundee, Nethergate, Dundee DD1 4HN, UK - Scotland"
5,117,"Dunedin, Otago Museum","Otage Museum, 419 Great King Street, Dunedin, New Zealand"
56,118,"Durham, Cathedral Library","Cathedral Library, Durham, UK - England"
56,119,"Durham, Oriental Museum","Durham University, Oriental Museum, (formerly the Gulbenkian Museum of Oriental Art), Elvet Hill, Durham, UK - England"
9,120,"Durham, University Library","Durham University, The University Library, Palace Green, Durham, UK - England"
1802,121,"Durham (NC), Duke University","Duke University Libraries, Special Collections Library, Perkins Library, Durham, NC 27708, USA"
25,123,"Edinburgh, University Library","Edinburgh University, Library, George Square, Ediburgh 8, UK - Scotland"
3,124,"Egham, Royal Holloway College","Royal Holloway College, Library, Egham, Surrey, UK - England"
153,125,"Erlangen, Universität","Universität Erlangen-Nürnberg, Universitätsbibliothek, Handschriftenabteilung, Schuhstraße 1a, Postfach 3509, 91054 Erlangen, Deutschland"
2,126,"Evanston, Seabury-Western Theological Seminary","Seabury-Western Theological Seminary, Hibbard Library, 2122 Sheridan Road, Evanston, Ill. 60201, USA"
